Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Stivale Overknee D333 Suede Camel,Overknee,donna,stivali,stivale,Camel,87.9,109.9,20.0,Duelune
Stivale Overknee D333 Suede Blu,Overknee,donna,stivali,stivale,Blu,87.9,109.9,20.0,Duelune
Stivale Cavallerizzo D34L Testa di Moro,Cavallerizzo,donna,stivali,stivale,Moro,83.9,104.9,20.0,Duelune
Stivale con tacco D978 Blu,con,donna,stivali,stivale,Blu,95.9,119.9,20.0,Duelune
Stivale con tacco D978 Marrone,con,donna,stivali,stivale,Marrone,95.9,119.9,20.0,Duelune
Stivale con tacco D978 Nero,con,donna,stivali,stivale,Nero,95.9,119.9,20.0,Duelune
Stivale Texano con tacco D943L Verdone,Texano,donna,stivali,stivale,Verdone,94.4,134.9,30.0,Duelune
Stivale Texano con tacco D943S Nero,Texano,donna,stivali,stivale,Nero,94.4,134.9,30.0,Duelune
Stivale Texano con tacco D943S Bordeaux,Texano,donna,stivali,stivale,Bordeaux,94.4,134.9,30.0,Duelune
Stivale Texano con tacco D943S Marrone,Texano,donna,stivali,stivale,Marrone,94.4,134.9,30.0,Duelune
Stivale con tacco D5735 Rosa,con,donna,stivali,stivale,Rosa,83.9,119.9,30.0,Duelune
Stivale D7580 Nero,D7580,donna,stivali,stivale,Nero,71.9,119.9,40.0,Duelune
Stivale D7579 Nero,D7579,donna,stivali,stivale,Nero,77.9,129.9,40.0,Duelune
Stivale con Strass D7296 Nero,con,donna,stivali,stivale,Nero,90.9,129.9,30.0,Duelune
Stivale Chelsea Anfibio D318 Nero,Chelsea,donna,stivali,stivale,Nero,76.9,109.9,30.0,Duelune
Stivale Chelsea Anfibio D314 Nero,Chelsea,donna,stivali,stivale,Nero,76.9,109.9,30.0,Duelune
Ballerina A707 Suede Testa di Moro,A707,donna,ballerine,ballerina,Moro,89.9,89.9,0.0,Duelune
Ballerina A707 Nero,A707,donna,ballerine,ballerina,Nero,89.9,89.9,0.0,Duelune
Ballerina Mocassino D890 Suede Cuoio,Mocassino,donna,ballerine,ballerina,Cuoio,63.9,79.9,20.0,Duelune
Ballerina Mocassino D890 Nero,Mocassino,donna,ballerine,ballerina,Nero,63.9,79.9,20.0,Duelune
Ballerina A708 Nero,A708,donna,ballerine,ballerina,Nero,89.9,89.9,0.0,Duelune
Ballerina A708 Beige,A708,donna,ballerine,ballerina,Beige,89.9,89.9,0.0,Duelune
