Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Décolleté donna slingback in tessuto blu notte d165z,d165z,donna,decollete,decollete,notte,149.9,149.9,0.0,Melluso
Décolleté donna slingback in pelle rosa contour d165zv,d165zv,donna,decollete,decollete,contour,104.93,149.9,30.0,Melluso
Décolleté donna slingback in pelle argento d166z,d166z,donna,decollete,decollete,argento,139.9,139.9,0.0,Melluso
Décolleté donna slingback in pelle nappetta nero d166z,d166z,donna,decollete,decollete,nero,139.9,139.9,0.0,Melluso
Décolleté donna slingback in pelle nappetta blu abyss d166z,d166z,donna,decollete,decollete,abyss,139.9,139.9,0.0,Melluso
Décolleté donna slingback in pelle fondotinta d166z,d166z,donna,decollete,decollete,fondotinta,139.9,139.9,0.0,Melluso
Décolleté donna slingback in pelle carne d166z,d166z,donna,decollete,decollete,carne,149.9,149.9,0.0,Melluso
Décolleté donna slingback in pelle verlux nero d166z,d166z,donna,decollete,decollete,nero,149.9,149.9,0.0,Melluso
Décolleté donna slingback in pelle bianco d166z,d166z,donna,decollete,decollete,bianco,149.9,149.9,0.0,Melluso
Décolleté donna slingback in tessuto galassia blu notte d168zv,d168zv,donna,decollete,decollete,notte,149.9,149.9,0.0,Melluso
Décolleté donna slingback in pelle blu notte d168zv,d168zv,donna,decollete,decollete,notte,149.9,149.9,0.0,Melluso
Décolleté donna slingback in pelle nude d168zv,d168zv,donna,decollete,decollete,nude,149.9,149.9,0.0,Melluso
Décolleté donna slingback in pelle nero d168zv,d168zv,donna,decollete,decollete,nero,149.9,149.9,0.0,Melluso
Décolleté donna slingback in pelle platino d168zv,d168zv,donna,decollete,decollete,platino,149.9,149.9,0.0,Melluso
Décolleté donna slingback in pelle blu abyss d168zv,d168zv,donna,decollete,decollete,abyss,104.93,149.9,30.0,Melluso
Décolleté donna slingback in tessuto platino d168zv,d168zv,donna,decollete,decollete,platino,149.9,149.9,0.0,Melluso
Décolleté donna in tessuto platino e1301z,e1301z,donna,decollete,decollete,platino,139.9,139.9,0.0,Melluso
Décolleté donna in tessuto argento e1301z,e1301z,donna,decollete,decollete,argento,139.9,139.9,0.0,Melluso
Décolleté donna in tessuto blu notte e1301z,e1301z,donna,decollete,decollete,notte,139.9,139.9,0.0,Melluso
