Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale
Sandalo con tacco A3644 Blu,con,donna,decollete,Sandalo,Blu,79.9,79.9
Sandalo con tacco A3644 Laminato Rame,con,donna,decollete,Sandalo,Rame,79.9,79.9
Sandalo con tacco A3644 Rosa,con,donna,decollete,Sandalo,Rosa,79.9,79.9
Sandalo con tacco A3644 Rosso,con,donna,decollete,Sandalo,Rosso,79.9,79.9
Sandalo con tacco A3644 Laminato Argento,con,donna,decollete,Sandalo,Argento,79.9,79.9
Sandalo con tacco A6729 Nude,con,donna,decollete,Sandalo,Nude,99.9,99.9
Sandalo con tacco A6729 Rosa,con,donna,decollete,Sandalo,Rosa,99.9,99.9
Sandalo con tacco A6729 Nero,con,donna,decollete,Sandalo,Nero,99.9,99.9
Sandalo con tacco A6729 Giallo,con,donna,decollete,Sandalo,Giallo,99.9,99.9
Sandalo con tacco A3680 Nero,con,donna,decollete,Sandalo,Nero,79.9,99.9
Sandalo con tacco A3680 Cipria,con,donna,decollete,Sandalo,Cipria,79.9,99.9
Sandalo con tacco A6726 Suede Arancio,con,donna,decollete,Sandalo,Arancio,99.9,99.9
Sandalo con tacco A6726 Suede Fuxia,con,donna,decollete,Sandalo,Fuxia,99.9,99.9
Sandalo con tacco A6726 Nero,con,donna,decollete,Sandalo,Nero,99.9,99.9
Sandalo con tacco A6726 Platino,con,donna,decollete,Sandalo,Platino,99.9,99.9
Sandalo con tacco A6725 Rame,con,donna,decollete,Sandalo,Rame,99.9,99.9
Sandalo con tacco A6725 Argento,con,donna,decollete,Sandalo,Argento,99.9,99.9
Sandalo con tacco A6710 Giallo,con,donna,decollete,Sandalo,Giallo,99.9,99.9
Sandalo con tacco A6711 Fuxia,con,donna,decollete,Sandalo,Fuxia,99.9,99.9
Sandalo con tacco A6712 Nero Bianco,con,donna,decollete,Sandalo,Bianco,99.9,99.9
Sandalo con tacco A6712 Arancio,con,donna,decollete,Sandalo,Arancio,99.9,99.9
Sandalo con tacco A6713 Argento,con,donna,decollete,Sandalo,Argento,99.9,99.9
Sandalo con tacco A6713 Pitone Oro,con,donna,decollete,Sandalo,Oro,99.9,99.9
Décolletè A3672 Nero,A3672,donna,decollete,Décolletè,Nero,44.95,89.9
Décollétè A3671 Nero,A3671,donna,decollete,Décollétè,Nero,42.45,84.9
Décollétè D5724 Camoscio Nero,D5724,donna,decollete,Décollétè,Nero,50.9,84.9
Décollétè D5724 Camoscio Grigio,D5724,donna,decollete,Décollétè,Grigio,50.9,84.9
Décollétè D5724 Camoscio Cuoio,D5724,donna,decollete,Décollétè,Cuoio,50.9,84.9
Décollétè D5727 Bordeaux,D5727,donna,decollete,Décollétè,Bordeaux,37.45,74.9
Décollétè D5727 Cuoio,D5727,donna,decollete,Décollétè,Cuoio,37.45,74.9
Décollétè D5727 Nero,D5727,donna,decollete,Décollétè,Nero,37.45,74.9
Décollétè D3666 Camoscio Rosso,D3666,donna,decollete,Décollétè,Rosso,44.9,74.9
Décollétè D3669 Nero,D3669,donna,decollete,Décollétè,Nero,39.95,79.9
Décollétè D3642 Nero,D3642,donna,decollete,Décollétè,Nero,27.95,69.9
Décollétè D3645 Blu,D3645,donna,decollete,Décollétè,Blu,35.9,59.9
Décollétè D3645 Nero,D3645,donna,decollete,Décollétè,Nero,35.9,59.9
Décollétè D403 Suede Nero,D403,donna,decollete,Décollétè,Nero,33.95,84.9
Décollétè D403 Suede Rosso,D403,donna,decollete,Décollétè,Rosso,33.95,84.9
Stivale Texano D817 Nero,Texano,donna,stivali,Stivale,Nero,139.9,139.9
Stivaletto con tacco D83 Nero,con,donna,stivali,Stivaletto,Nero,111.9,139.9
Stivaletto Anfibio D1027 Bordeaux,Anfibio,donna,stivali,Stivaletto,Bordeaux,111.9,139.9
Stivale cavallerizzo D2352 Nero,cavallerizzo,donna,stivali,Stivale,Nero,124.9,124.9
Stivale cavallerizzo D2352 Testa di Moro,cavallerizzo,donna,stivali,Stivale,Moro,124.9,124.9
Stivale cavallerizzo D2352 Cuoio,cavallerizzo,donna,stivali,Stivale,Cuoio,124.9,124.9
Stivale Cavallerizzo D34L Nero,Cavallerizzo,donna,stivali,Stivale,Nero,83.9,104.9
Stivale con tacco A6731 Nero,con,donna,stivali,Stivale,Nero,149.9,149.9
Stivale con tacco A6731 Cuoio,con,donna,stivali,Stivale,Cuoio,149.9,149.9
Stivale con tacco D5735 Nero,con,donna,stivali,Stivale,Nero,83.9,119.9
